traffic_control_type,visibility,light,road_surface_condition,classification_of_accident,injury,driver_condition,speeding,aggressive_and_disturbed_driving,alcohol,disability
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Inattentive,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Fatal,Fatal,Unknown,Yes,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minor,Inattentive,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minimal,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Minimal,Medical or Physical Disability,Yes,Yes,None,Yes
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Normal,Yes,Yes,None,Yes
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,None,Yes,Yes,None,Yes
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,None,Yes,Yes,None,Yes
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,Yes,Yes,None,Yes
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Inattentive,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minimal,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Major,"Ability Impaired, Alcohol",None,None,Yes,None
Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Minor,None,None,None,Yes,None
Traffic Signal,Rain,Daylight,Wet,Fatal,Fatal,None,None,Yes,None,None
Traffic Signal,Rain,Daylight,Wet,Fatal,Minimal,Unknown,None,Yes,None,None
Traffic Signal,Rain,Daylight,Wet,Fatal,Minimal,Normal,None,Yes,None,None
No Control,Clear,Dusk,Wet,Non-Fatal Injury,None,"Ability Impaired, Drugs",None,None,None,None
No Control,Clear,Dusk,Wet,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Unknown,None,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Minimal,None,None,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Minimal,None,None,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Minimal,None,None,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Minor,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Inattentive,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,Yes,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Inattentive,None,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Had Been Drinking,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minor,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minor,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minor,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minor,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minor,None,None,None,None,None
Traffic Signal,Rain,"Dusk, artificial",Wet,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Rain,"Dusk, artificial",Wet,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minimal,None,None,Yes,None,None
No Control,Freezing Rain,"Dark, artificial",Wet,Fatal,Fatal,None,None,None,None,None
No Control,Freezing Rain,"Dark, artificial",Wet,Fatal,None,Normal,None,None,None,None
Traffic Signal,Freezing Rain,"Dark, artificial",Slush,Non-Fatal Injury,Minor,"Ability Impaired, Alcohol Over .08",Yes,Yes,Yes,None
Traffic Signal,Freezing Rain,"Dark, artificial",Slush,Non-Fatal Injury,Major,Normal,Yes,Yes,Yes,None
Traffic Signal,Rain,"Dusk, artificial",Wet,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Rain,"Dusk, artificial",Wet,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Had Been Drinking,None,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,Fatal,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,Minimal,Normal,None,None,None,None
Stop Sign,Rain,"Daylight, artificial",Wet,Non-Fatal Injury,Major,None,None,None,None,None
Stop Sign,Rain,"Daylight, artificial",Wet,Non-Fatal Injury,None,Normal,None,None,None,None
Stop Sign,Rain,"Daylight, artificial",Wet,Non-Fatal Injury,None,None,None,None,None,None
Traffic Signal,Rain,Dark,Wet,Fatal,None,Inattentive,None,None,None,None
Traffic Signal,Rain,Dark,Wet,Fatal,Fatal,None,None,None,None,None
Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Minimal,Normal,Yes,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Minor,Normal,Yes,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Minimal,None,Yes,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,Yes,Yes,None,None
No Control,Snow,Dark,Ice,Non-Fatal Injury,None,Normal,Yes,Yes,None,None
No Control,Snow,Dark,Ice,Non-Fatal Injury,Minor,Normal,Yes,Yes,None,None
No Control,Snow,Dark,Ice,Non-Fatal Injury,Major,None,Yes,Yes,None,None
No Control,Snow,Dark,Ice,Non-Fatal Injury,Minor,None,Yes,Yes,None,None
No Control,Snow,Dark,Ice,Non-Fatal Injury,Minor,None,Yes,Yes,None,None
No Control,Snow,Dark,Ice,Non-Fatal Injury,Minor,None,Yes,Yes,None,None
No Control,Snow,Dark,Ice,Non-Fatal Injury,None,None,Yes,Yes,None,None
No Control,Snow,Dark,Ice,Non-Fatal Injury,Minor,None,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Inattentive,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minimal,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Stop Sign,Clear,Daylight,Dry,Fatal,Fatal,Unknown,Yes,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Fatal,None,Normal,Yes,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Fatal,None,Unknown,None,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Fatal,Fatal,Unknown,None,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Fatal,Fatal,None,Yes,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Fatal,Fatal,None,Yes,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Fatal,Fatal,None,Yes,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Fatal,Major,None,Yes,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Fatal,Major,Had Been Drinking,Yes,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Fatal,Minor,Normal,Yes,Yes,None,None
Streetcar (Stop for),Clear,Daylight,Dry,Non-Fatal Injury,None,Inattentive,None,Yes,None,None
Streetcar (Stop for),Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Stop Sign,Clear,Daylight,Wet,Non-Fatal Injury,Major,Inattentive,None,Yes,None,None
Stop Sign,Clear,Daylight,Wet,Non-Fatal Injury,None,Normal,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minor,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minor,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,Fatal,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,None,Normal,None,None,None,None
No Control,Other,Dark,Other,Fatal,Fatal,None,Yes,Yes,None,None
No Control,Other,Dark,Other,Fatal,Major,Unknown,Yes,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Rain,Dark,Wet,Fatal,None,Had Been Drinking,None,None,None,None
No Control,Rain,Dark,Wet,Fatal,Fatal,None,None,None,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Minor,Inattentive,None,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Inattentive,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minor,Normal,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,Yes,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,None,Inattentive,None,None,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minimal,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Rain,"Dark, artificial",Wet,Fatal,Fatal,None,None,None,None,None
No Control,Rain,"Dark, artificial",Wet,Fatal,None,Normal,None,None,None,None
No Control,Clear,Dawn,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Dawn,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,"Dawn, artificial",Dry,Non-Fatal Injury,Minor,Inattentive,None,Yes,None,None
No Control,Clear,"Dawn, artificial",Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
No Control,Clear,Daylight,Dry,Fatal,None,Unknown,None,None,None,None
No Control,Clear,Daylight,Dry,Fatal,Fatal,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Inattentive,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minor,Normal,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Dusk,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Dusk,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minimal,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,Inattentive,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,None,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,Fatal,Normal,None,Yes,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Had Been Drinking,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Inattentive,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Other,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minor,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,"Daylight, artificial",Dry,Non-Fatal Injury,None,Inattentive,None,None,None,None
Traffic Signal,Clear,"Daylight, artificial",Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,"Daylight, artificial",Dry,Non-Fatal Injury,None,Unknown,None,None,None,None
Traffic Signal,Clear,"Daylight, artificial",Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Fatal,Minor,None,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Fatal,Minor,"Ability Impaired, Drugs",Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Fatal,Minor,Normal,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Fatal,None,Normal,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Fatal,Fatal,Normal,Yes,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,Unknown,Yes,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Minor,Normal,Yes,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Normal,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minor,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Minimal,Inattentive,None,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Inattentive,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
No Control,Clear,Daylight,Dry,Fatal,Major,None,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Fatal,Fatal,Inattentive,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Fatal,Major,Normal,Yes,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Inattentive,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Inattentive,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Inattentive,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Fatal,Fatal,Unknown,None,None,None,None
No Control,Clear,Daylight,Dry,Fatal,Fatal,Inattentive,None,None,None,None
No Control,Clear,Daylight,Dry,Fatal,None,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Inattentive,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minimal,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Inattentive,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Minimal,Had Been Drinking,Yes,Yes,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Minimal,None,Yes,Yes,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Minimal,None,Yes,Yes,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,Yes,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Unknown,Yes,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,Yes,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,Yes,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,Yes,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minimal,Inattentive,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minor,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,None,None,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,None,None,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Minor,None,None,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
